name,content,source
Endowment Effect (aka Divestiture Aversion),"People place a higher value on objects that they own than on objects they do not. 

In one experiment, people demanded a higher price for a coffee mug that had been given to them, but put a lower price on one they did not yet own. The Endowment Effect was described as inconsistent with standard economic theory, which asserts that a person's willingness to pay for a good should be equal to their willingness to accept compensation to be deprived of the good.",http://en.wikipedia.org/wiki/Endowment_effect
Experimenter's or Expectation Bias,"This is the tendency for experimenters to believe, certify, and publish data that agree with their expectations for the outcome of an experiment, and to disbelieve, discard, or downgrade the corresponding weightings for data that appear to conflict with those expectations. In review of biases in clinical studies, David Sackett states that biases can occur in any one of seven stages of research:

  1. reading up on the field,
  2. specifying and selecting the study sample,
  3. executing the experimental maneuver (or exposure),
  4. measuring exposures and outcomes,
  5. analyzing the data,
  6. interpreting the analysis,
  7. publishing the results.

The inability of a human being to be objective is the ultimate source of this bias.",http://en.wikipedia.org/wiki/Expectation_bias
Focusing Effect,"The Focusing Effect (or Focusing Illusion) is a cognitive bias that occurs when people place too much importance on one aspect of an event (especially, the aspect they happen to be thinking about at the moment). This error causes inaccuracy when predicting how useful a potential outcome will be.

In one experiment, when predicting relative happiness of Californians to themselves, Midwesterners predicted that Californians were more happy overall, because they were focusing on positive factors like the weather, while ignoring negative factors like crime rate.

The Focusing Effect is different from but related to the Attentional Bias: the Attentional Bias entails specific features of the environment, causing one to pay undue attention to certain things, whereas the Focusing Effect entails the mere process of thinking about something causing that thing to seem more important than it really is. One manifestation of the focusing effect can be summarized as, ""Things aren't as important as you think they are when you're thinking about them.""",http://en.wikipedia.org/wiki/Focusing_effect
Framing Effect,"Presenting the same option in different formats can alter people's decisions. Specifically, individuals have a tendency to make inconsistent choices, depending on whether the question is framed to concentrate on losses or gains. 

A set of experiments on framing indicated that different phrasing affected participants' responses to a question about a disease prevention strategy. Two options were presented to subjects, both describing the same statistical outcome, but one focused on the number of deaths, while the other focused on number of lives. Participants were much more likely to choose the option that ""saved"" lives.",http://en.wikipedia.org/wiki/Framing_effect_%28psychology%29
Hostile Media Effect (Disconfirmation Bias),"The tendency to see a media report as being biased due to one's own strong partisan views. 

In the first major study of this phenomenon, pro-Palestinian students and pro-Israeli students were shown the same news filmstrips pertaining to the then-recent (1982) Sabra and Shatila massacre of Palestinian refugees by Christian Lebanese militia fighters in Beirut during the Lebanese Civil War. On a number of objective measures, both sides found that these identical news clips were slanted in favor of the other side. This effect is interesting to psychologists because it appears to be a reversal of the otherwise pervasive effects of confirmation bias. I.e., in this area, people seem to pay more attention to information that contradicts rather than supports their existing views. 

This is an example of Disconfirmation Bias.",http://en.wikipedia.org/wiki/Hostile_media_effect
Hyperbolic Discounting,"Given two similar rewards, humans show a preference for one that arrives sooner rather than later. Humans are said to discount the value of the later reward, by a factor that increases with the length of the delay. 

The standard experiment used to reveal a test subject's hyperbolic discounting curve is to compare short-term preferences with long-term preferences. For instance: ""Would you prefer a dollar today or three dollars tomorrow?"" or ""Would you prefer a dollar in one year or three dollars in one year and one day?"" For certain ranges of offerings, a significant fraction of subjects will take the lesser amount today, but will gladly wait one extra day in a year in order to receive the higher amount instead.",http://en.wikipedia.org/wiki/Hyperbolic_discounting
Illusion of Control,"The tendency to overestimate one's degree of influence over external events. The illusion is more common in familiar situations, and in situations where the person knows the desired outcome. The illusion can also be altered by emotional state. For example, the illusion is weaker for depressed individuals and is stronger when individuals have an emotional need to control the outcome. 

To investigate perceptions of control, experimenters may ask people about hypothetical situations, for example the likelihood of their involvement in a motor vehicle accident. On average, drivers regard accidents as much less likely in ""high-control"" situations, such as when they are driving, than in ""low-control"" situations, such as when they are in the passenger seat. They also rate a high-control accident, such as driving into the car in front, as much less likely than a low-control accident such as being hit from behind by another driver.",http://en.wikipedia.org/wiki/Illusion_of_control
Impact Bias,"The tendency to overestimate the length or the intensity of the impact of future feeling states. For example, people seem to think that if disaster strikes, it will take longer to recover emotionally than it actually does. Conversely, if a happy event occurs, people overestimate how long they will emotionally benefit from it.",http://en.wikipedia.org/wiki/Impact_bias
Information Bias,"Involves e.g., distorted evaluation of information. Information Bias occurs due to people's curiosity and confusion of goals when trying to choose a course of action. An example of Information Bias is believing that the more information that can be acquired to make a decision, the better, even if that extra information is irrelevant for the decision. Examples of Information Bias are prevalent in medical diagnoses. Subjects in experiments concerning medical diagnostic problems show an information bias in which they seek information that is unnecessary in deciding the course of treatment.",http://en.wikipedia.org/wiki/Information_bias_%28psychology%29
Irrational Escalation (aka Escalation of Commitment) / Sunk Cost Fallacy,"The phenomenon where people justify increased investment in a decision based on the cumulative prior investment, despite new evidence suggesting that the cost (starting today) of continuing the decision outweighs the expected benefit. 

The term has been used to describe the United States commitment to military conflicts including Vietnam in the 1960s - 1970s and in Iraq in the 2000s, where dollars already spent and lives already lost ""justify"" continued involvement. (""We've already come this far..."")",http://en.wikipedia.org/wiki/Irrational_escalation
Loss Aversion,"Loss aversion refers to people's tendency to strongly prefer avoiding losses to acquiring gains. Some studies suggest that losses are twice as powerful, psychologically, as gains. Whether a transaction is framed as a loss or a gain is very important: would you rather get a $5 discount (win), or avoid a $5 surcharge (loss)? The same change in price framed differently has a significant effect on consumer behavior. In other words, losses have a more profound effect on us than does a gain of the same value. Recent studies have questioned the existence of loss aversion. One found that loss aversion does not exist in small payoff magnitudes. Another found that loss aversion is more likely to affect a person in competitive situations. This is related to the Endowment Effect, and was once thought to be an consequence of it.",http://en.wikipedia.org/wiki/Loss_aversion
Mere Exposure Effect,"The tendency to express undue liking for things merely because of familiarity with them. 

Charles Goetzinger conducted an experiment using the Mere Exposure Effect on his class at Oregon State University. Goetzinger had a student come to class wearing a large black bag with only his feet visible. That student (student A) sat on a table in the back of the classroom. Goetzinger's experiment was to observe if the students would treat Student A in accordance with the Mere Exposure Effect. His hypothesis was confirmed. The students in the class first treated Student A with hostility, which over time turned into curiosity, and eventually friendship. This experiment confirms (Zajonc's) Mere Exposure Effect: by simply presenting the student wearing the black bag over and over again to the other students, their attitudes were changed.",http://en.wikipedia.org/wiki/Mere_exposure_effect
Money Illusion,"The tendency to concentrate on the nominal (face) value of money rather than its value in terms of purchasing power. Money Illusion can also influence people's perceptions of outcomes. Experiments have shown that people generally perceive a 2% cut in nominal income as unfair, but see a 2% rise in nominal income where there is 4% inflation as fair, despite them being almost rational equivalents.",http://en.wikipedia.org/wiki/Money_illusion
Moral Credential Effect,"An individual's track record as an egalitarian individual can establish a subconscious ethical certification, endorsement, or license within that individual which will increase their likelihood of making less egalitarian decisions later. For example, individuals who had the opportunity to recruit a woman or an African American in one setting were more likely to later say, in a different setting, that a job would be better suited for a man or a Caucasian.",http://en.wikipedia.org/wiki/Moral_credential
Negativity Bias,"A psychological phenomenon by which humans pay more attention to and give more weight to negative rather than positive experiences or other kinds of information. For example, when given a piece of positive information and a piece of negative information about a stranger, people's judgment of the stranger will be negative, rather than neutral (assuming the two pieces of information are not severely imbalanced).",http://en.wikipedia.org/wiki/Negativity_bias
Neglect of Probability,"The tendency to completely disregard probability when making a decision under uncertainty. With this bias, the actor completely disregards probability when making a decision, instead of using probability incorrectly. 

In one example of near-total neglect of probability, Rottenstreich and Hsee (2001) found that the typical subject was willing to pay $10 to avoid a 99% chance of a painful electric shock, and $7 to avoid a 1% chance of the same shock. (They suggest that probability is more likely to be neglected when the outcomes are emotion arousing.) The subject disregards probability in making his decision by treating each possible outcome as equal in his reasoning.",http://en.wikipedia.org/wiki/Neglect_of_probability
Normalcy Bias,"A mental state people enter when facing a disaster which causes them to underestimate both the possibility of a disaster occurring and its possible effects. An assumption is made in the case of the Normalcy Bias that since a disaster never has occurred, it never will occur. It also results in a person's inability to cope with a disaster once it does occur. People with a normalcy bias have difficulties reacting to something they have not experienced before. People also tend to interpret warnings in the most optimistic way possible, seizing on any ambiguities to infer a less serious situation. The normalcy bias often results in unnecessary deaths in disaster situations. 

One example took place in New Orleans before Hurricane Katrina. Some examples of normalcy bias include inadequate government and citizen preparation, the denial that the levees could fail, and thousands of people's refusals to evacuate.",http://en.wikipedia.org/wiki/Normalcy_bias
Omission Bias,"The tendency to judge harmful actions as worse, or less moral, than equally harmful omissions (inactions). It is contentious whether this represents a systematic error in thinking, or whether this is supported by a substantive moral theory. Spranca, Minsk, and Baron extended the omission bias to judgments of morality of choices. 

In one scenario, John, a tennis player, would be facing a tough opponent the next day in a decisive match. John knows that his opponent is allergic to a food substance. Subjects were presented with two conditions: John recommends the food containing the allergen to hurt his opponent's performance, or the opponent himself orders the allergenic food, and John says nothing. A majority of people judged that John's action of recommending the allergenic food as being more immoral than John's inaction of not informing the opponent of the allergenic substance.",http://en.wikipedia.org/wiki/Omission_bias
Outcome Bias,"One will often judge a past decision by its ultimate outcome instead of by the quality of the decision at the time it was made, given what was known at that time. This is an error because no decision maker ever knows whether or not a calculated risk will turn out for the best. Individuals whose judgments are influenced by Outcome Bias are seemingly holding decision makers responsible for events beyond their control. The reason why an individual makes this mistake is that he or she will incorporate presently available information when evaluating a past decision. 

Baron and Hershey (1988) presented subjects with hypothetical situations in order to test this. One such example involved a surgeon deciding whether or not to do a risky surgery on a patient. The surgery had a known probability of success. Subjects were presented with either a good or bad outcome (in this case living or dying), and asked to rate the quality of the surgeon's pre-operation decision. Those presented with bad outcomes rated the decision worse than those who were presented with good outcomes.",http://en.wikipedia.org/wiki/Outcome_bias
Planning Fallacy,"The Planning Fallacy is a tendency for people and organizations to underestimate how long they will need to complete a task, even when they have past experience of similar tasks overrunning. The bias only affects predictions about one's own tasks; when uninvolved observers predict task completion times, they show a pessimistic bias, overestimating the time taken. In 2003, Lovallo and Kahneman proposed an expanded definition as the tendency to underestimate the time, costs, and risks of future actions and at the same time overestimate the benefits of the same actions. 

In a 1994 study, 37 psychology students were asked to estimate how long it would take to finish their senior theses. The average estimate was 33.9 days. They also estimated how long it would take ""if everything went as well as it possibly could"" (averaging 27.4 days) and ""if everything went as poorly as it possibly could"" (averaging 48.6 days). The average actual completion time was 55.5 days, with only about 30% of the students completing their thesis in the amount of time they predicted.",http://en.wikipedia.org/wiki/Planning_fallacy
Post-purchase Rationalization,"A special case of Choice-supportive Bias, someone who purchases an expensive product or service overlooks any faults or defects in order to justify their purchase. 

For example, a consumer cannot decide between two popular video game consoles, A and B, but in the end decides to purchase product A on the basis that many of their peers also own this console. After purchasing it, he finds out that product A has a minimal amount of games and product B has more titles that the consumer would like to play. However, he does not wish to feel that he made the wrong decision, and so will attempt to convince himself and his peers that product A is better than product B.",http://en.wikipedia.org/wiki/Post-purchase_rationalization
Pseudo-certainty Effect,"A person's tendency to perceive an outcome as certain while in fact it is uncertain, or the tendency to make risk-averse choices if the expected outcome is positive, but make risk-seeking choices to avoid negative outcomes. For example, when considering multi-stage decisions, subjects may assume the first stage will go in their favor and only focus on the probability of the second stage of the process. A subject's evaluation of outcomes in a previous decision stage is discarded when making a choice in subsequent stages.

FYI - There is a very long and specific math-oriented example",http://en.wikipedia.org/wiki/Pseudocertainty_effect
Reactance,"An emotional reaction in direct contradiction to rules or regulations that threaten or eliminate specific behavioral freedoms. Reactance can cause a person to adopt or strengthen a view or attitude that is contrary to what was intended, and also increases resistance to persuasion. 

An example of such behavior can be observed when an individual engages in a prohibited activity in order to deliberately taunt the authority who prohibits it, regardless of the utility or disutility that the activity confers. There are four important elements to reactance theory: perceived freedom, threat to freedom, reactance, and restoration of freedom. Freedom is not an abstract consideration, but rather a feeling associated with real behaviors, including actions, emotions, and attitudes. 

One study concluded that one way to increase the activity of a threatened freedom is to censor it, or provide a threatening message toward the activity. In turn a ""boomerang effect"" occurs, in which people choose forbidden alternatives. This study also shows that social influence has better results when it does not threaten one's core freedoms. Two concepts revealed in this study are that a communicator may be able to increase the positive force toward compliance by increasing his or her credibility, and that increasing the positive communication force and decreasing the negative communication force simultaneously should increase compliance.",http://en.wikipedia.org/wiki/Reactance_%28psychology%29
Restraint Bias,The tendency to overestimate one's own ability to show restraint in the face of temptation.,http://en.wikipedia.org/wiki/Restraint_bias
Selective Perception,"Selective Perception may refer to any number of cognitive biases in psychology related to the way expectations affect perception. For instance, several studies have shown that students who were told that they were consuming alcoholic beverages (which in fact were non-alcoholic) perceived themselves as being ""drunk"", exhibited fewer physiological symptoms of social stress, and drove a simulated car similarly to other subjects who had actually consumed alcohol. The result is somewhat similar to the Placebo Effect.",http://en.wikipedia.org/wiki/Selective_perception
Semmelweis Reflex,"The tendency to reject new evidence that contradicts an established paradigm. There is some uncertainty regarding the origin and generally accepted use of the expression. It refers to Ignaz Semmelweis, who discovered that child-bed fever mortality rates could be reduced ten-fold if doctors would wash their hands (we would now say disinfect) with a chlorine solution between having contact with infected patients and non-infected patients. His hand-washing suggestions were rejected by his contemporaries.",http://en.wikipedia.org/wiki/Semmelweis_reflex
Social Comparison Bias,"When making hiring decisions, people tend to favor potential candidates who don't compete with their own particular strengths.",http://en.wikipedia.org/wiki/Social_comparison_bias
Status Quo Bias,"A cognitive bias for the status quo; in other words, people tend not to change an established behavior unless the incentive to change is compelling. The US states of New Jersey and Pennsylvania inadvertently ran a real life experiment providing evidence of the Status Quo Bias in the early 1990s. As part of Tort law reform programs, citizens were offered two options for their automotive insurance: an expensive option giving them full right to sue, and a less expensive option with restricted rights to sue. In New Jersey the cheaper option was the default and most citizens selected it, while only a minority chose it in Pennsylvania where the more expensive option was the default. Similar effects have been shown for contributions to retirement plans, choice of internet privacy policies and the decision to become an organ donor.",http://en.wikipedia.org/wiki/Status_quo_bias
Unit Bias,The tendency to want to finish a given unit of a task or an item. Strong effects on the consumption of food in particular.,http://en.wikipedia.org/wiki/List_of_cognitive_biases
Wishful Thinking,"The formation of beliefs and making decisions according to what might be pleasing to imagine instead of by appealing to evidence, rationality or reality. Studies have consistently shown that, holding all else equal, subjects will predict positive outcomes to be more likely than negative outcomes. This logical fallacy has the form ""I wish that P is true/false, therefore P is true/false.""",http://en.wikipedia.org/wiki/Wishful_thinking
Zero-risk Bias,"Zero-risk Bias occurs when individuals value complete elimination of a risk, however small, to a reduction in a greater risk. That is, individuals may prefer small benefits that are certain to large ones that are uncertain, regardless of the size of the ""certain"" benefit.",http://en.wikipedia.org/wiki/Zero-risk_bias
Ambiguity Effect,"A cognitive bias where decision making is affected by a lack of information, or ""ambiguity"". The effect implies that people tend to select options for which the probability of a favorable outcome is known, instead of an option for which the probability of a favorable outcome is unknown. 

FYI - The only example is a lengthy probability problem",http://en.wikipedia.org/wiki/Ambiguity_effect
Availability Cascade,A self-reinforcing cycle that explains the development of certain kinds of collective beliefs. A novel idea or insight (usually one that seems to explain a complex process in a simple or straightforward manner) gains rapid currency in the popular discourse because of its very simplicity and apparent insightfulness.,http://en.wikipedia.org/wiki/Availability_cascade
Availability Heuristic,"A phenomenon (which can result in a cognitive bias) in which people predict the frequency of an event, or a proportion within a population, based on how easily an example can be brought to mind. 

For example, when asked to rate the probability of a variety of causes of death, people tend to rate more ""newsworthy"" events as more likely because they can more readily recall an example from memory. For example, in the USA, people may rate the chance of death by homicide higher than the chance of death by stomach cancer, even though death by stomach cancer is five times higher than death by homicide.",http://en.wikipedia.org/wiki/Availability_heuristic
Base Rate Neglect,"Base Rate Neglect, or Base Rate Fallacy or Bias, is an error that occurs when the conditional probability of some hypothesis H, given some evidence E, is assessed without taking into account the ""base rate"" or ""prior probability"" of H and the total probability of evidence E. 

In some experiments, students were asked to estimate the grade point averages (GPAs) of hypothetical students. When given relevant statistics about GPA distribution, students tended to ignore them if given descriptive information about the particular student, even if the new descriptive information was obviously of little or no relevance to school performance. 

Psychologists attempted to explain this finding in terms of the Representativeness Heuristic. Others have argued that some attributional biases like the fundamental attribution error are instances of the Base Rate Fallacy: people under-utilize ""consensus information"" (the ""base rate"") about how others behaved in similar situations and instead prefer simpler dispositional attributions.",http://en.wikipedia.org/wiki/Base_rate_fallacy
Belief Bias,"An effect where someone's evaluation of the logical strength of an argument is affected by whether or not the conclusion is believable. 

In a series of experiments, subjects were presented with deductive arguments (in each of which a series of premises and a conclusion are given) and asked to indicate if each conclusion necessarily follows from the premises given. In other words, the subjects are asked to make an evaluation of logical validity. The subjects, however, exhibited belief bias when they rejected valid arguments with unbelievable conclusions, and endorsed invalid arguments with believable conclusions. It seems that instead of following directions and assessing logical validity, the subjects based their assessments on personal beliefs.",http://en.wikipedia.org/wiki/Belief_bias
Clustering Illusion,"The tendency to see patterns where actually none exist. Thomas Gilovich found that most people saw non-random sequences in the string of random data: OXXXOXXXOXXOOOXOOXXOO.
",http://en.wikipedia.org/wiki/Clustering_illusion
Conjunction Fallacy,"A logical fallacy that occurs when it is assumed that specific conditions are more probable than a single general one. In one experiment, subjects were presented with the following scenario: Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.

  Which is more probable?

    1. Linda is a bank teller.
    2. Linda is a bank teller and is active in the feminist movement.

85% of those asked chose option 2. However the probability of two events occurring together (in ""conjunction"") is always less than or equal to the probability of either one occurring alone. But in another study, the question is rephrased in a more concrete format, and participants are likely to get the answer right. This demonstrates that it may be a result of poor word choice, rather than bias, that causes subjects to create unrealistic associations.",http://en.wikipedia.org/wiki/Conjunction_fallacy
Forward Bias,The tendency to create models based on past data which are validated only against that past data.,http://visayanatheists.wordpress.com/2011/05/12/list-of-cognitive-biases/
Gambler's Fallacy,"The belief that if deviations from expected behavior are observed in repeated independent trials of some random process, future deviations in the opposite direction are then more likely. While the probability of a run of five heads is only 1⁄32 = 0.03125, it is only that before the coin is first tossed. After the first four tosses the results are no longer unknown, so their probabilities are 1. Reasoning that it is more likely that the next toss will be a tail than a head due to the past tosses, that a run of luck in the past somehow influences the odds in the future, is the fallacy.",http://en.wikipedia.org/wiki/Gambler%27s_fallacy
Hindsight Bias,"Hindsight Bias, also known as the ""knew-it-all-along"" effect, is the inclination to see events that have already occurred as being more predictable than they were before they took place. This bias is recognized with the expression ""hindsight is 20/20"".

In one study, participants were given a short story with four possible outcomes. They are told that one of the outcomes is the ""true"" outcome, and are then asked to assign the likelihood of each particular outcome. Participants frequently assign a higher likelihood of occurrence to whichever outcome they have been told is true.",http://en.wikipedia.org/wiki/Hindsight_bias
Illusory Correlation,"The phenomenon of seeing the relationship one expects in a set of data even when no such relationship exists. 

This bias can be caused by, among other things, an event that stands out as unique. Variables capture the attention simply because they are novel or deviant. This is one way stereotypes form and endure. David Hamilton and Terrence Rose (1980) found that stereotypes can lead people to expect certain groups and traits to fit together, and they overestimate the frequency of when these correlations actually occur. People overestimate the core association between variables such as stereotyped groups and stereotypical behavior.

Rupert Brown and Amanda Smith (1989) tested the hypothesis by conducting a study involving the academic staff at a British university. The results revealed that the staff had overestimated the number of female seniority staff and underestimated the number of male senior staff. This reflected that the academic staff inaccurately viewed the relationship between gender and seniority, showing that illusory correlations can exist in everyday situations.",http://en.wikipedia.org/wiki/Illusory_correlation
Observer-expectancy Effect,"This is when a researcher (or individual) expects a given result and therefore subconsciously manipulates an experiment or misinterprets data in order to find it. 

An example of the Observer-expectancy Effect is demonstrated in music back-masking, in which hidden verbal messages are said to be audible when a recording is played backwards. Often when a song is played backwards, a listener will fail to notice the ""hidden"" lyrics until they are explicitly pointed out, after which they are obvious.",http://en.wikipedia.org/wiki/Observer-expectancy_effect
Optimism Bias,"The demonstrated tendency for people to be overly optimistic about the outcome of planned actions. This includes over-estimating the likelihood of positive events and under-estimating the likelihood of negative events.

Armor and Taylor review a number of studies that have found optimism bias in different kinds of judgment. These include:

  - Second-year MBA students overestimated the number of job offers they would receive and their starting salary;
  - Students overestimated the scores they would achieve on exams;
  - Almost all newlyweds in a US study expected their marriage to last a lifetime, even while aware of divorce statistics;
  - Professional financial analysts consistently overestimated corporate earnings;
  - Most smokers believe they are less at risk of developing smoking-related diseases than others who smoke.

Companies have exploited this bias by increasing interest rates to punitive rates for any late payment, knowing that overconfidence causes many people to grossly underestimate their odds of making a payment late.
",http://en.wikipedia.org/wiki/Optimism_bias
Ostrich Effect,"The Ostrich Effect is the tendency to avoid apparently risky (financial) situations by pretending they do not exist. The name comes from the common (but false) legend that ostriches bury their heads in the sand to avoid danger.

Research by Loewenstein and Duane Seppi determined that people in Scandinavia looked up the value of their investments 50% to 80% less often during bad markets.",http://en.wikipedia.org/wiki/Ostrich_effect
Overconfidence Effect,"Excessive confidence in one's own answers to questions. The Overconfidence Effect is one of the most important and well-studied cognitive biases in psychology and behavioral economics. Overconfidence has been studied in three different ways:

  1. Overestimation of one's performance, ability, level of control, or rate of work; 
  2. An inflated belief that one is better than others, or over-placement; and
  3. An excessive belief in the truth and accuracy of one’s beliefs, or over-precision.

One is example is shown in a spelling task, where subjects were correct about 80% of the time when they were ""100% certain."" Put another way, the error rate was 20% when subjects expected it to be 0%.
",http://en.wikipedia.org/wiki/Overconfidence_effect
"Positive Outcome Bias / Valence Effect","A person's tendency to overestimate the probability of a favorable outcome in a given situation.

In one experiment, all other things being equal, participants assigned a higher probability to picking a card that had a smiling face on its reverse side than one which had a frowning face.

Also known as the Valence Effect. The outcome of valence effects may be called ""wishful thinking"".",http://en.wikipedia.org/wiki/Valence_effect
Pareidolia,"A vague and random stimulus (often an image or sound) is perceived as significant, e.g., seeing images of animals or faces in clouds, the man in the moon, and hearing hidden messages on records played in reverse.

Pareidolia is why we find a ""face"" when we look at two dots and a line arranged inside of a circle.

Carl Sagan hypothesized that as a survival technique, human beings are ""hard-wired"" from birth to identify the human face. This allows people to use only minimal details to recognize faces from a distance and in poor visibility, but can also lead them to interpret random images or patterns of light and shade as being faces. The evolutionary advantages of being able to identify friend from foe with split-second accuracy are numerous. For example, prehistoric (and even modern) men and women who accidentally identify an enemy as a friend could face deadly consequences for this mistake. This is only one among many evolutionary pressures responsible for the development of the modern facial recognition capability of modern humans.",http://en.wikipedia.org/wiki/Pareidolia
Pessimism Bias,"The tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative things happening to them.",http://en.wikipedia.org/wiki/Pessimism_bias
Primacy Effect,"The tendency to weigh or remember initial events or information more than subsequent events or information. For example, a subject who reads a sufficiently long list of words is more likely to remember words toward the beginning than words in the middle (though words at the end of the list may be even more memorable).",http://en.wikipedia.org/wiki/Primacy_effect#Primacy_effect
Recency Effect,"The tendency to weigh recent events more than earlier events. There are two models that may explain this effect. The Duo Store Model suggests that items stored in short term memory are more readily accessible, and therefore the most recent information a person has reviewed will be most available and weighed most heavily. The Single Store Model suggests that either recent information is most distinct or that it is most closely associated with the ""test"" where the information is needed, and therefore most recent information is more easily accessible.",http://en.wikipedia.org/wiki/Recency_effect#Recency_effect
Disregard of Regression toward the Mean,"The tendency to expect extreme performance to continue, despite the fact that it is most likely for performance to be closer to average overall as it continues.

When things happen to deviate from the mean by chance, you assume the abnormal behavior will continue.

""""When his pain got worse, he went to a doctor, after which the pain subsided somewhat. Therefore, he benefited from the doctor's treatment.""""
 
This assumes the pain would have continued without the doctors treatment.",http://en.wikipedia.org/wiki/Regression_toward_the_mean
Stereotyping,"Expecting a member of a group to have certain characteristics without having actual information about that individual.

The term ""stereotype"" derives from the Greek words στερεός (stereos), meaning ""firm, solid"", and τύπος (typos), meaning ""impression,"" hence: ""solid impression"". It was originally a term used in the world of printing to describe a duplicate impression of an original typographical element, used for printing instead of the original.

There are many theories about why individuals tend to stereotype. One theory is that stereotyping is the most convenient way to sort information - grouping large numbers of people and experiences together. It could also be the case that one's childhood experiences are primary in the creation of stereotypes, and these stereotypes learned in childhood are self-perpetuating, growing stronger as an individual ages. A third theory focuses on an individual's need to feel good about him or herself. If I am part of Group A, and Group A is ""right"" about everything, then it is best for my self esteem to lump other individuals into separate, inferior groups.",http://en.wikipedia.org/wiki/Stereotyping
