Name,Should use?,Has received final editing pass?,Description,Experimental evidence,"If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",Examples,Manual keywords,Ten Conditions for Change (primary),Ten Conditions for Change (secondary),Benevolent helper,Tags,Source URLs,Source descriptions,Source notes,Other notes,Anthony's Notes,Ideas for Testing,Even more notes,Type of Rational Thinking Error(s) (Stanovich),Class of Rational Thinking Error(s) (Stanovich)
Appeal to Authority Fallacy,,yes,The Appeal to Authority Fallacy is the argument that a statement is correct because it was made by a person or source that the audience regards as authoritative.,,,"For example: ""As Samuel Johnson said, 'patriotism is the last refuge of the scoundrel.'""",authority,1. Considers,"2. Desires, 3. Intends","To overcome this fallacy, it could help to analyze the message itself after disconnecting it from the messenger. For example, ""I know you've adopted Diet X because Dr. Oz recommended it, but is it really true that X is safe and effective? I think you should see what the research shows about X before adopting it.""

To leverage this fallacy, you could ask trusted authority figures to deliver messages. For example, ""I'm Alex Trebec, and I want you to know how important it is to buy life insurance."" In such a case, it's still important to tell the audience that the claims are true for reasons other than that they're being delivered by a trusted messenger; the trusted messenger only acts as a sort of Trojan horse to deploy the message behind the defenses of the audience, not as proof of the message's veracity.",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_authority,,,,,,,,
Appeal to Common Practice Fallacy,,yes,The Appeal to Common Practice Fallacy is the claim that something is true or acceptable because it's commonly practiced.,,,"For example: ""This bank has some problems with corruption. But there's nothing going on here that doesn't go on in all the other banks.""

Another example: ""This procedure is practiced at 90% of hospitals, so it's the best option we've got for our patient!""","majority, common, popular, everyone",2. Desires,,"To overcome this fallacy, it could help to show counterexamples of times when a common practice or belief was later shown to be false, dangerous, or immoral. (This by itself doesn't prove that a claim is false; it only demonstrates that the majority isn't always right and that common practice isn't proof of truth or moral acceptability.) For example, owning slaves used to be a common practice around the world. The ubiquity of slavery, however, should not be taken as evidence that it was morally justifiable.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Consequences Fallacy,,yes,"The Appeal to Consequences Fallacy is an argument in which the validity of its premise (typically a belief) is judged based on whether the consequences of that premise lead to desirable or undesirable consequences. It typically has a form like: ""If P, then bad consequences. Therefore, not P."" Or: ""If P, then good consequences. Therefore, P!""",,,"For example: ""Your theory cannot possibly be true because if it were, our lives would be meaningless.""

Another example: ""This new exercise plan is going to hurt like heck, so it's probably not good for me.""

Another example: ""The last time I tried to stop smoking, I had horrible withdrawal symptoms. So it's probably best for me to just keep smoking.""","consequence, result, outcome, desirable, undesirable",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, provide absurd, extreme, or humorous counterexamples to show that the truth of a proposition is not connected to its consequences. For example: ""If there were serial killers, then lots of people would die horrible deaths! Therefore, serial killers must not exist."" Or: ""If everyone was perfectly kind to each other, then we'd have no more wars. Therefore, everyone must already be perfectly kind to each other!""

Directly pointing out this fallacy might have the potential to backfire. This kind of reasoning can be associated with cognitive dissonance and motivated reasoning, which may decrease the degree to which people can engage rationally and productively with information or arguments contradicting their current thinking (e.g. [Rothgerber, 2020](https://www.sciencedirect.com/science/article/pii/S0195666319306324?casa_token=TbOa-8zyVboAAAAA:pwCeOrthXBA3hSOV8dSmUNyL5cIT4oeSJV3jYRNd5wCSseAtLw4rvD0cYYRU6VZRhBohasvyO7Y)). 

Motivated reasoning may become particularly problematic when the topic at hand is framed in moral terms (since topics framed in terms of morality can be associated with more polarization than those perceived through a pragmatic lens; [Abeywickrama et al., 2020](https://jspp.psychopen.eu/index.php/jspp/article/view/5263)). 

With these caveats in mind, given the right circumstances and the right person, it might sometimes be worth telling someone when it seems like this fallacy is affecting their reasoning (if the backfire risk appears to be sufficiently low). 

This may be worth taking into consideration when raising initial awareness of a given behavior or its consequences: if the target audience has certain ideas that they hold strongly and value highly, then it could backfire to convey information that directly challenges those beliefs. And when information _is_ presented that _could_ contradict someone's cherished beliefs, it might be preferable to share the information on its own---without sharing the conclusions or providing behavioral prescriptions---in order to encourage the person to come to their _own_ conclusions (for more information on this point, see the Generation Effect). 

Over the longer-term, it may help to encourage people to foster more epistemic humility, potentially through practicing dialogic argumentation in a wide variety of contexts ([Kuhn & Crowell, 2011](https://journals.sagepub.com/doi/full/10.1177/0956797611402512?casa_token=j8n-fvNZXIcAAAAA%3ARQxwCnHBeC4V_rEOge0_-zqCBENDDml05g1n502cs7OTa8ADJ2pONhY88bhP2p3CHRm0C7RA6-lsww)). More research in this area is needed, but some evidence suggests that such approaches may enable people to become less attached to their desired conclusions ([Švaříček, 2019](https://www.phil.muni.cz/journals/index.php/studia-paedagogica/article/view/2063), which may increase their ability to form more realistic beliefs through the use of reasoning and evidence.",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_consequences,,,,,,,,
Appeal to Fear Fallacy,,yes,"The Appeal to Fear Fallacy is the argument that one of two things must be true and that, because one of the things is frightening, the other must be true. It usually has the form: ""Either P or Q is true. Q is frightening. Therefore, P.""",,,"For example, someone might be experiencing symptoms consistent with a diagnosis of Panic Disorder. They might believe: ""Either these symptoms represent panic attacks, or I'm just experiencing normal sensations that everyone feels. But having a Panic Disorder diagnosis sounds frightening to me. Therefore, I'm just experiencing normal sensations that everyone feels."" ","fear, scary",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To leverage this fallacy, highlight undesirable or risky outcomes that would result from failure to engage in a desired behavior change. It could also help to motivate people to maintain the behavior in cases where they either fear failure itself or fear the consequences of that failure. 

To overcome this fallacy, consider how severe the person's fear is and how strongly they hold their current beliefs relating to the feared outcome(s). Then, if it seems safe to do so, it might help to encourage the person to acknowledge the fear, analyze the reasons behind it, evaluate whether the fear is justified, and manage it directly. On the other hand, if the person has strongly-held beliefs relating to the fear or its consequences, it may be preferable to seek professional support. In the meantime, the strategies for the Appeal to Consequences Fallacy may also be worth considering.",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_fear,,,,,,,,
Appeal to Flattery Fallacy,,yes,"The Appeal to Flattery Fallacy is the use of an irrelevant compliment to slip in an unfounded claim; the audience might then accept the statement along with the flattery. It usually has the form: ""You have desirable property X, so of course you'll know that P is true.""",,,"For example: ""Intelligent and sophisticated readers will of course recognize a fallacy like this when they read one.""","flatter, compliment",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, recognize it and/or point it out. It may also help to re-evaluate any claims based on the evidence supporting them, rather than other factors (such as accompanying flattery). Those trying to support others in their behavior change efforts should also avoid giving unwarranted or falsely-inflated flattery. (As well as being dishonest / unethical, this would also run the risk of backfiring via the Argument from Fallacy.)",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Hypocrisy Fallacy,,yes,The Appeal to Hypocrisy Fallacy is the argument that a position is wrong because the person arguing for it does not live in accordance with it.,,,"For example: ""He says lying is wrong. But look at him! He's been known to lie himself!""

Another example: ""The big oil companies tell us that we as individuals should do more to prevent climate change by reducing, reusing, and recycling. But they're contributing to climate change on a massive scale, so we can't trust anything they say! So it's probably a waste of time and energy for us to reduce, reuse, and recycle.""","hypocrisy, congruence, accordance, consistency",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, you should ideally adopt the behavior in question (or give a costly signal that you intend to adopt it) before encouraging others to do so. In cases where other people are providing behavioral advice or tips, it may be advisable for the person explaining it to be selected based on their own experience in engaging in the behavior in question so that their advice is (at least perceived to be) more credible.",rhetorical fallacy,http://en.wikipedia.org/wiki/tu_quoque,,,,,,,,
Appeal to Incredulity Fallacy,,yes,The Appeal to Incredulity Fallacy is the dismissal of a proposition as false because it sounds unbelievable.,,,"For example, someone might think it is unbelievable that there is a free activity that can increase their lifespan, improve their physical and mental health, and improve their cognitive abilities. (But getting enough sleep each night is a free activity that does all of these things.)

Another example: ""You're telling me that humans and chimpanzees shared a common ancestor? That's absurd! Humans are completely different from chimps!""","unbelievable, absurd, unrealistic",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, share any available evidence so that people can draw their own conclusions regarding the claim(s) they are doubting. It may also help to show them that a person they respect believes the claim(s).",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Money Fallacy,,yes,"The Appeal to Money Fallacy can occur with respect either to people or to things. When it concerns people, the fallacy is the belief that the more money a person has, the wiser or more knowledgeable they are. When it concerns things, the fallacy is the belief that the more something costs, the more valuable it must be.",,,"For example: ""This product costs more, so it must be better.""

Another example: ""He's the richest man in the world! He must be doing something right!""","money, cost, costly, value, valuable",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, try challenging it directly by asking questions. For example: ""Is it really true that this product is better than its competitors simply because it's the most expensive?""

To leverage this fallacy, place a relatively high price on the relevant training, equipment, or other materials required to engage in the behavior.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Motive Fallacy,,yes,The Appeal to Motive Fallacy is the claim an argument must be false because the person making it has biased or ulterior motives.,,,"For example: ""We can't trust the evidence that he produces because he'll sell millions of copies of his book if people believe that his theories are true.""","motive, intent, purpose, ulterior",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, avoid allowing people with relevant conflicts of interest to be the ones promoting behavior change. For example, if someone owns a high-protein product company, they should not be the person chosen to run a nutrition workshop. ",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_motive,,,,,,,,
Appeal to Nature Fallacy,,yes,The Appeal to Nature Fallacy is the claim that natural things are automatically good and that synthetic things are automatically bad.,,,"For example: ""Vaccines are unnatural. Therefore, they are bad for me.""

Another example: ""Why would people make genetically-modified foods? Natural foods are already perfect!""","nature, natural, synthetic, man-made, manmade",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, provide counterexamples. If a beneficial behavior is seen as unnatural, provide evidence that it results in positive outcomes. If a detrimental behavior is seen as natural, provide evidence that it results in negative outcomes.

In some cases, this fallacy may be deeply connected to a person's worldview. If a person views humans as being a fundamentally different kind of thing than animals, then man-made things will take on a particularly significant quality that they would otherwise not have if the person were to view humans as merely being another kind of animal. For example, are skyscrapers ""natural""? If one views humans as just another kind of animal, then comparing skyscrapers to anthills might seem appropriate; but to a person who views humans as being metaphysically different than animals, such a comparison might seem degrading to humans or even simply absurd. In other words, if a person is a materialist who believes that nature is just ""everything that is,"" then skyscrapers and vaccines and sodas are just as ""natural"" as anthills and venom and honey. But a person who believes that humans are separate from nature will probably view man-made things with some amount of mistrust. And, of course, challenging a person's worldview is extremely difficult and likely to backfire. Offering counterexamples may still be the best course of action, but be aware that they may not be received warmly.

This fallacy may also represent a response to the facts that (1) we don't always test our inventions sufficiently well and (2) we are often motivated by profit to invent quickly. We've noticed that we have, in the past, rushed to invent products that later caused lots of damage, and that's made us skeptical about the benefits of new inventions. The concern that inventions be well-tested is valid and extremely important, but it's also separate from whether or not human inventions are ""natural.""",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_nature,,,,,,,,
Appeal to Novelty Fallacy,,yes,The Appeal to Novelty Fallacy is the belief that something is automatically better because it is new or newer.,,,"For example: ""The latest version of this operating system is going to make my computer faster and better.""","new, original, unique",2. Desires,,"To overcome this fallacy, it could help to point out that there are significant (but often less noticeable) risks and costs associated with always having/using the newest thing. For example, adopting the latest fad diet may put one's health at risk (since there may be little research into the long-term effects of the diet). It might also help to point out that old things may more reliable, well-tested, and cheaper.

To leverage this fallacy, one could show that the target behavior can be adopted in a new way. For example, to convince people to stop smoking cigarettes (which is not a new idea), one could show them new techniques and tools for quitting, such as a new medication or a new kind of chewing gum.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Pity Fallacy,,yes,The Appeal to Pity Fallacy is the attempt to induce pity to sway opponents.,,,"For example, someone might want to encourage their friend to stop chain-smoking but might also think that their friend has been under a lot of stress for the past few years. If they engage in the Appeal to Pity Fallacy, they might prematurely conclude that now wouldn't be the time to tell them about a new quitting aid on the market.","pity, sympathy, sad",1. Considers,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, provide or ask for an outside perspective. Remind people that you do care for them, and that it's your care for them that's spurring your encouragement of their behavior change. In a behavior change context, the Appeal to Pity Fallacy can represent an abuse and manipulation of one person's natural affection and care for another. For example, Alice might say to Bob, ""Making me change my behavior would hurt, and you don't want to hurt me, do you?"" But Bob should remind Alice his care and affection for her is exactly what's motivating him to encourage her to change her behavior.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Popular Belief Fallacy,,yes,The Appeal to Popular Belief Fallacy is the claim that something is true because the majority of people believe it.,,,"For example: ""Everyone knows that milk is essential for healthier bones.""","majority, popular, common, everyone",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, point out evidence and counterexamples to demonstrate that the claim in question isn't true.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Probability Fallacy,,yes,"The Appeal to Probability Fallacy is the assumption that because something *could* happen, then it *will* happen.",,,"For example: ""There are many hackers that spread worms through the internet. Therefore, if you use the internet without a firewall, it is inevitable that you will be hacked sooner or later.""

Another example: ""A few people have had adverse reactions to the vaccine, so I don't want to get vaccinated because I just know I'll have an adverse reaction too!""","probability, likely, probable",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, describe concrete examples with similar probabilities. For example, ""I know you're afraid of the negative side effects of starting your new habit, but they're about as likely as being attacked by a giant squid."" Sometimes, exaggerating the person's own inference (from some probability to 100% probability) in a friendly way with humor and mild sarcasm can show them how absurd the inference is. For example, ""Oh, you're afraid of having a heart attack when you exercise? You're right; that's a valid fear. Most 25-year-olds I've known have died of heart attacks while exercising, which is why there's so few of them left. It's also why doctors recommend never exercising if you're over 10 years old."" Or: ""All startups succeed! None have ever failed. Yours is totally going to succeed too!""

Encourage the person to seek professional help if the faulty reasoning is overlapping with [all-or-nothing thinking](https://en.wikipedia.org/wiki/Cognitive_distortion#All-or-nothing_thinking) and/or with [catastrophizing](https://en.wikipedia.org/wiki/Exaggeration#Cognitive_distortions), and use similar strategies to address it. To overcome this fallacy over the longer-term, it might also be beneficial to encourage the person to practice thinking more probabilistically to reduce their tendency to engage in this fallacy in the first place.",logical fallacy,http://en.wikipedia.org/wiki/appeal_to_probability,,,,,,,,
Appeal to Ridicule Fallacy,,yes,The Appeal to Ridicule Fallacy is casting an opponent's argument in a light that makes it sound silly or ridiculous in order to bolster a claim that it is false.,,,"For example: ""If Einstein's theory of relativity is right, that would mean that when I drive my car, it gets shorter and more massive the faster I go. That's crazy!""","ridiculous, absurd, ridicule, silly, unbelievable",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, ask the person to consider whether they'd come to the same conclusion given the same evidence. It might also be possible to reduce the probability of this fallacy arising if the people and organizations presenting information about a given behavior are respected, credible, or otherwise less susceptible to ridicule.",rhetorical fallacy,http://en.wikipedia.org/wiki/appeal_to_ridicule,,,,,,,,
Appeal to Spite Fallacy,,yes,The Appeal to Spite Fallacy is the dismissal of a claim by appealing to a personal bias against the claimant.,,,"For example: ""Don't you just hate how those rich Liberal Hollywood actors go on TV to promote their agendas?""","spite, anger, hatred",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, it might help to point it out and encourage the person to focus on the information itself rather than the people or organization(s) conveying it. Ask someone the audience trusts to argue the case for the behavior change.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Tradition Fallacy,,yes,The Appeal to Tradition Fallacy is the claim that something is true because it has (apparently) always been that way. (See also: Status Quo Bias.) ,,,"For example: ""Marriage is the union between man and women. It has always been that way, and always should be that way. Therefore gay marriage is wrong.""","tradition, history, traditional",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome or avoid this fallacy, introduce behavior change interventions with small and incremental steps to reduce the resistance associated with breaking from tradition. Show examples, especially of a person's loved ones, who have changed their behavior and who are still ""good"" people, even though they've apparently abandoned tradition.

To leverage this fallacy, point out cases where someone is already engaging in a behavior long enough for them to perceive it as a tradition (in which case the Appeal to Tradition Fallacy may help them to stick to it). Also, point out ways in which the new, positive behavior aligns with a person's traditions and values.",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Appeal to Wishful Thinking,,yes,The Appeal to Wishful Thinking Fallacy is the belief that a claim is true or false just because they strongly hope it is.,,,"For example: ""The President wouldn't lie. He's our leader and a good American.""

As another example, someone may desire (and thus believe) that there will be no expected negative health impacts from smoking.","wish, hope",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome Wishful Thinking that relates to strongly-held beliefs, it might help to use similar strategies as those suggested for the Appeal to Consequences Fallacy. For hopes which are less strongly held, or in situations where the backfire risk is deemed to be sufficiently low, it may help to point out when Wishful Thinking is occurring or to provide evidence to enable the person to draw their own conclusions. ",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
