PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
HABIT FORMATION,VISUALIZE ACTION,"Ask the person to visualize themselves correctly performing each step of the action (as opposed to visualizing themselves having already formed the habit). Indicate to the person that this technique is used by many successful athletes, performers, etc.",9. Embodies,TRAINING,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4730,no,"visualize, technique, process, success, fame, visualize, training, emulates, understand, define, simulate, teach, visualization, motivates, analyze",14
HABIT FORMATION,REWARD YOURSELF,"Ask the person to come up with a technique for rewarding themselves (either with a physical thing they want, such as their favorite beverage, or psychologically, such as by telling themselves ""great job!"") every time they practice they take the action.",6. Chooses,REWARDS,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4731/edit,in use,"reward, physical, psychological, rewards, reward, incentive, bonus, rewarded, prizes, motivates, incentives, yourself, prize",15
HABIT FORMATION,GOAL VISUALIZATION,Ask the person to visualize themselves achieving a significant personal goal as a result of practicing their new habit.,2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4732/edit,in use,"visualize, achievement, goal, outcome, desires, intrinsic, visualization, benefits, goal, subjective, desire, objectives, visualizations, telos",16
HABIT FORMATION,SELF-CONFIDENCE,Ask the person to name or select strengths they possess that will help them successfully form and maintain the new habit. Then have them write about how they can leverage these strengths to help them achieve or maintain the behavior.,10. Maintains,MINDSET,2. Edited,,"Added ""and maintain""",,,,,,,YES,https://www.guidedtrack.com/programs/4756,in use,"enumerate, ability, describe, mindset, mentality, attitude, philosophy, perception, ethic, approach, attitudes, motivates, thinking",17
HABIT FORMATION,NEGATIVE OUTCOME CONTEMPLATION,Ask the person to motivate themselves by envisioning a bad outcome they could experience if they fail to successfully form their new habit.,10. Maintains,PURPOSE,0. No edits needed,This one is tricky. I could imagin this going into Desires (because it may motivate them to want to do the behavior) or Chooses but I think it probably makes the most sense in Maintains,,,,,,,,YES,https://www.guidedtrack.com/programs/4758/edit,no,"visualize, outcome, bad, failure, purpose, reflection, merely, objective, purposes, subjective, therefore, outcome, maintains, implication",18
HABIT FORMATION,PAST HABITS,"Ask the person to think of a past successful habit change, identify useful tactics, etc., and then ask them to think about how to apply them to their new habit.",7. Knows,PRACTICE,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4777/edit,no,"remember, analyze, apply, habits, practice, practices, habit, mindset, behaviors, behavior, attitudes, practicing, practiced",19
HABIT FORMATION,SUPPORT SYSTEM,Ask the person to reach out to friends or family and request their support for the person in their habit-change efforts.,10. Maintains,SUPPORT NETWORK,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4779/edit,yes,"social-network, support, maintains, support, supports, maintain, maintained, supported, supporting, network, provides, operates",20
HABIT FORMATION,SOCIAL MEDIA,Ask the person to post on their social media accounts about their new habit in order to increase their public commitment to the habit and therefore establish a social deterrent to giving up on it (as well as to potentially receive social encouragement).,10. Maintains,COMMITMENT,0. No edits needed,,,,,,,,,YES,https://www.guidedtrack.com/programs/4783/edit,no,"social-media, social-network, commit, public, reinforce, commitment, commitments, devotion, pledge, committed, maintains, desire, social, loyalty, belief",21
HABIT FORMATION,WOOP,"This strategy combines Mental Contrasting (which involves focusing both on benefits and obstacles standing in the way) and Implementation Intentions (a plan of the form ""if situation X happens, I'll take action Y""). The intervention consists of:

- Wish: Clearly identify the desired behavior.
- Outcome: Visualize yourself enjoying a deeply positive experience that you can attain by successfully forming the new habit.
- Obstacles: Following the visualization, identify the most likely obstacle that will cause you to lapse in practicing your habit.
- Plan: Design a strategy to handle the obstacle, in the form ""if (obstacle) then (plan).""",10. Maintains,COMMITMENT,0. No edits needed,,,,,,,,http://woopmylife.org/further/,YES,https://www.guidedtrack.com/programs/4982/edit,no,"identify, desire, visualize, good, outcome, obstacle, plan, contrast, commitment, committed, commitments, maintains, pledge, devotion, desire, determination, belief, insistence",22
HABIT FORMATION,IMAGINATION,"Encourage the person to re-imagine themselves as the type of person who always performs their habit, regardless of circumstances.",6. Chooses,EMOTIONAL STATE,0. No edits needed,,,,,,,,,YES,,no,"visualize, ideal, consistency, perseverance, imagination, creativity, imaginative, emotions, emotion, instinct, senses, intuition, emotional, passion",23
HABIT FORMATION,REGULARITY PRIZE,"Ask the person to select a prize (e.g., from a list of options) and award them with it (or enter them in a lottery with a chance to win the prize) if they perform their behavior at a certain required frequency.",10. Maintains,REWARDS,0. No edits needed,I think this is actually Maintains because the reward seems to occur at the end. If the reward occured EACH time they did the action then it would be Chooses,,,,,,,,NO,,no,"reward, lottery, consistency, rewards, reward, prize, prizes, bonus, rewarded, regularity, incentive, award, awards",24
HABIT FORMATION,FAMILY PRIORITIZATION,"Ask the person to make selections from a list of family members or loved ones (e.g., mom, dad, brother, best friend) and notate how each family member can benefit from their new habit.",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,YES,,in use,"social-network, benefits, describe, enumerate, intrinsic, desires, priorities, inherent, societal, preferences, subjective, priori, benefits, considerations",25
HABIT FORMATION,LIST OF POSSIBLE FAILURES,"Ask the person to select from a list of reasons they might fail to stick to their new habit (e.g., time, resources, or motivation).",10. Maintains,COPING AND RECOVERY,0. No edits needed,I filled this one in,,,,,,,,YES,,in use,"failure, enumerate, recovery, dealing, maintains, cope, struggles, failures, suffers, maintain, experiencing, maintaining",26
HABIT FORMATION,PLEDGE TO IMPROVE,"Asks the user to select their goal from a list (i.e. exercise, vitamin intake, be punctual) and then electronically sign a pledge that they will stick to the habit for a prescribed amount of time.",,,5. To be deleted,,Same as #257,,,,,,,YES,,no,,27
HABIT FORMATION,DATE AND TIME,Ask the user to select a specific date and time to begin their new habit. Create an alert to remind them to begin.,,,5. To be deleted,This seems to me like its Intends + Remembers,Separated into two different strategies,,,,,,,YES,,in use,,28
HABIT FORMATION,AIM HIGH,Set a very high standard so that the person's efforts to reach that standard will lead to better performance than they would usually give.,3. Intends,PLANNING,0. No edits needed,I filled this one in. I think it is Intends because it effects what performance they Intend to achieve (i.e. their intention about the behavior changes). But it's a tricky one and I'm not confident,,,,,,"Chapman, G. B., Colby, H., Convery, K., & Coups, E. J. (2015). Goals and Social Comparisons Promote Walking Behavior. Medical Decision Making, 36(4), 472–478. doi: 10.1177/0272989x15592156",https://www.wiseinterventions.org/,,,no,"ideal, standard, performance, intends, planning, plans, aim, aiming, intend, aims, planned, intending, preparing",29
HABIT FORMATION,COMMENDATION,Regularly commend or compliment people when they stick to their new behavior.,10. Maintains,REWARDS,0. No edits needed,"If the commendation occurs during the habit then it's Chooses, otherwise its Maintains",,,,,,"Miller, R. L., Brickman, P., & Bolen, D. (1975). Attribution versus persuasion as a means for modifying behavior. Journal of personality and social psychology, 31(3), 430.",https://www.wiseinterventions.org/posters/commending-rather-than-encouraging-good-behavior-decreased-littering-among-5th-grade-students,,,in use,"compliment, social, incentive, consistency, rewards, praise, recognition, reward, award, exemplary, congratulations, honors, rewarded, awards",30
HABIT FORMATION,PRACTICE POSITIVITY,"At regular intervals, encourage the person to engage in activities that elevate positive emotions; to practice putting themselves in a positive mood to counteract negative behaviors that are linked to a negative mood.",6. Chooses,EMOTIONAL STATE,0. No edits needed,"It doesn't seem to me like Desires because this occurs throughout, whereas Desires is about what happens during the decison phase. I'd say it's pretty unclear because it's not clear WHY the mood is being elevated. Maybe it's about Chooses (with the idea that people won't do the action if they are in a bad mood or something_",,,,,,"Taylor, C. T., Lyubomirsky, S., & Stein, M. B. (2017). Upregulating the positive affect system in anxiety and depression: Outcomes of a positive activity intervention. Depression and anxiety, 34(3), 267-280.",https://www.wiseinterventions.org/posters/cultivating-positive-emotions-improved-psychological-well-being-among-individuals-who-sought-clinical-treatment-for-anxiety-or-depression,,,yes,"interval, social, incentive, good, bad, mood, emotional, chooses, practice, decides, happens, emotions, feels, emotion, wants, motivates",31
HABIT FORMATION,PARALLEL DRAWING,Draw a parallel between the achievement of a particular goal and the type of status or reputation the user admittedly desires.,2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,,,no,"compare, achievement, goal, reputation, social, intrinsic, desires, inherent, parallel, benefits, subjective, drawing, essence, infinite, macrocosm",32
HABIT FORMATION,ABSOLUTE STATEMENT,"Make a positive and absolute statement about a group the participant belongs to so they will feel inclined to act in harmony with it (e.g., ""Mothers <i>always</i> put the needs of their children ahead of their own needs"").",2. Desires,IDENTITY,0. No edits needed,,,,,,,,,,,no,"good, absolute, statement, social, incentive, identity, identities, desires, nationality, aspirations, desire, true, destiny, name, feelings",33
HABIT FORMATION,GOAL SETTING,"Ask the person to write down their most important goal, the positive outcomes that would come from realizing that goal, the most critical obstacle in the way of achieving that goal and ways they can overcome the obstacles to success. ",,,5. To be deleted,,Same as WOOP,,,,,"Wise Interventions ; Stadler et al., 2010",,,,in use,,34
HABIT FORMATION,THINGS ARE CHANGING ,Share statistics that indicate that an increased number of people are succeeding in the area the person is hoping to succeed in.,3. Intends,SELF-EFFICACY ABOUT THE BEHAVIOR,0. No edits needed,"I would probably put this as Intends since it sounds to me like it's about the behavior as a whole, rather than about a specific subaction. Self-effiacy about the behavior as a whole falls into Intends usually, whereas Self-efficacy for a particular action you're about to do goes into Believes.",,,,,,"Sparkman, G., & Walton, G. M. (2017). Dynamic norms promote sustainable behavior, even if it is counternormative. Psychological science, 28(11), 1663-1674",https://www.wiseinterventions.org/posters/learning-that-people-are-increasingly-limiting-their-meat-consumption-increased-likelihood-of-ordering-lunch-without-meat,,,no,"statistics, social, incentive, increase, intends, intend, wants, expects, plans, will, chooses, does, changing, intention",35
HEALTH / WELL-BEING,GRATITUDE EXERCISE,"Ask the person to reflect on things they want to remember to be grateful for each week. This may increase their mood or optimism, or remind them of the reasons they are trying to improve.",10. Maintains,EMOTIONAL STATE,0. No edits needed,,,,,,,"Emmons, R. A., & McCullough, M. E. (2003). Counting blessings versus burdens: an experimental investigation of gratitude and subjective well-being in daily life. Journal of personality and social psychology, 84(2), 377",https://www.wiseinterventions.org/posters/expressing-gratitude-through-writing-increased-life-satisfaction-among-adults-with-neuromusclar-disease-over-3-weeks,,,no,"reflect, remember, gratitude, good, mood, increase, admiration, devotion, compassion, grateful, emotional, thanking, thank, kindness, humility, appreciative",36
HEALTH / WELL-BEING,POSITIVE EXPERIENCES,"Ask the person to write about 3 things that went well for them at the end of each day or week, and then briefly write out their best explanation as to why these things went well. This may increase their mood or optimism, or help them identify causes for things going well that they can influence in the future.",10. Maintains,EMOTIONAL STATE,0. No edits needed,,,,,,,"Chancellor, J., Layous, K., & Lyubomirsky, S. (2015). Recalling positive events at work makes employees feel happier, move more, but interact less: A 6-week randomized controlled intervention at a Japanese workplace. Journal of Happiness Studies, 16(4), 871-887",https://www.wiseinterventions.org/posters/recalling-positive-events-through-writing-increased-happiness-and-work-efficiency-among-japenese-employees,,,yes,"describe, enumerate, interval, analyze, good, mood, increase, emotional, positive, experiences, psychological, negative, maintains, emotions, supportive, experience, feelings",37
HEALTH / WELL-BEING,NEGATIVE EXPERIENCES,"Boost a person's mood before asking them to take an action that might be hard to carry out in a negative state (e.g., make them laugh or recall positive memories).",6. Chooses,EMOTIONAL STATE,0. No edits needed,"This is a very specific strategy for helping people deal with trauma. I think it's most closely associated with Chooses, and would only apply in situations where past trauma is causing the person to avoid taking actions (e.g. someone tries to escape from certain situations because it triggers a memory of trauma, instead of choosing the most appropriate and helpful behavior, in which case the writing exercise might hel) ",,,,,,"Murray, E. J., & Segal, D. L. (1994). Emotional processing in vocal and written expression of feelings about traumatic experiences. Journal of Traumatic Stress, 7(3), 391-405.",https://www.wiseinterventions.org/posters/writing-about-traumatic-life-experiences-reduced-painful-thoughts-but-increased-negative-mood-among-undergraduates,,,no,"increase, mood, prepare, emotional, negative, experiences, positive, chooses, feelings, emotions, psychological, subjective, perceptions",38
HEALTH / WELL-BEING,CONFRONT ANXIETY,Ask the person to write about their deepest thoughts and feelings around an upcoming event or change that is causing them anxiety.,10. Maintains,EMOTIONAL STATE,0. No edits needed,Maybe Maintains insofar as fear of this upcoming event may throw them off course in their behavior change,,,,,,"Frattaroli, J., Thomas, M., & Lyubomirsky, S. (2011). Opening up in the classroom: Effects of expressive writing on graduate school entrance exam performance. Emotion, 11(3), 691.",https://www.wiseinterventions.org/posters/writing-thoughts-and-feeling-about-graduate-school-entrace-exams-decreased-depressive-symptoms-among-students-days-later,,,in use,"describe, enumerate, anxiety, stress, mental-states, anxiety, emotional, confront, emotions, psychological, fear, feelings, stress, anger, paranoia",39
HEALTH / WELL-BEING,POSITIVE TAKEAWAY,Mention the positive things that can come out of a challenge faced by the user; help them reframe their view of the challenge as something they can benefit from.,2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,"Crum, A. J., Salovey, P., & Achor, S. (2013). Rethinking stress: The role of mindsets in determining the stress response. Journal of personality and social psychology, 104(4), 716.",https://www.wiseinterventions.org/posters/teaching-about-the-positive-effects-of-stress-reduced-anxiety-and-improved-work-related-skills-among-financial-service-employees-days-later,,,in use,"frame, benefits, outcome, enumerate, describe, positive, takeaway",40
HEALTH / WELL-BEING,CONSULTATION,"Arrange for the person to have a thorough consultation with an expert or provider who specializes in the area they are trying to improve in. The consultation should include verbal instruction, demonstrations, and printed materials, as applicable.",7. Knows,LEARNING SUPPORT,2. Edited,,"Replaced healthcare professional with ""expert or provider""",,,,,"Halvari, A. E. M., & Halvari, H. (2006). Motivational predictors of change in oral health: An experimental test of self-determination theory. Motivation and emotion, 30(4), 294.",https://www.wiseinterventions.org/posters/engaging-in-a-1-hour-instructive-dental-health-conversation-reduced-plaque-and-gingivitis-over-seven-months,,,no,"expert, appointment, education, resources, consultation, discussions, consulted, consult, discussion, review, input, negotiation, dialogue, meetings",41
HEALTH / WELL-BEING,INTRINSIC GOALS,"Encourage the person to focus on how achieving their goal will benefit them internally as opposed to externally (e.g., improved self-esteem vs. looking better in a bikini).",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,"Vansteenkiste, M., Simons, J., Lens, W., Sheldon, K. M., & Deci, E. L. (2004). Motivating learning, performance, and persistence: The synergistic effects of intrinsic goal contents and autonomy-supportive contexts. Journal of personality and social psychology, 87(2), 246.",https://www.wiseinterventions.org/posters/teaching-tai-bo-in-an-intrinsically-or-autonomous-way-increased-learning-and-performance-among-belgian-high-schoolers,,,no,"benefits, internal, external, focus, intrinsic, desires, inherent, innate, intrinsically, benefits, goals, attributes, objectives, subjective",42
HEALTH / WELL-BEING,ACTS OF KINDNESS,Ask the person to complete 5 small acts of kindness over a week and check them off as they do. This may increase their mood or feeling of meaning or connection.,10. Maintains,EMOTIONAL STATE,0. No edits needed,This is only relevant where helping the person feel happier or be more altruistic is useful for the behaivor. So it could go in maintains with the other mood changing interventions.,,,,,,"Lyubomirsky, S., Sheldon, K. M., & Schkade, D. (2005). Pursuing happiness: the architecture of sustainable change. Review of general psychology, 9(2), 111.",https://www.wiseinterventions.org/posters/performing-five-acts-of-kindness-per-day-over-six-weeks-increased-happiness-among-college-students-over-this-period,,,no,"checklist, kindness, increase, mood, social, kindness, compassion, emotional, benevolence, honesty, caring, devotion, emotion, acts, humility",43
HEALTH / WELL-BEING,RECALLING GOOD ACTIONS,"Ask participants to reflect daily on examples of good moral actions, like showing kindness to people.",2. Desires,COHERENCE,2. Edited,"This one has a confusing name, I suggest renaming it. This is a technique for getting someone to think of themselves as a kind/altruistic person, so is an intervention that's about changing their identity. Hence, I think it largely comes into play under Desires - but targeted cases where you're trying to get the person to start a kind or altruistic new behavior (and this intervention tries to get themselves to think of themseves as a kind or altruistic person first)",Strategy name changed,,,,,"Otake, K., Shimai, S., Tanaka-Matsumi, J., Otsui, K., & Fredrickson, B. L. (2006). Happy people become happier through kindness: A counting kindnesses intervention. Journal of happiness studies, 7(3), 361-375.",https://www.wiseinterventions.org/posters/reflecting-on-kind-behavior-increased-happiness-among-undergraduates-over-a-week,,,no,"reflect, morality, examples, coherence, coherent, clarity, rationality, unity, harmony, sense, contradictions, repetition, praxis",44
HEALTH / WELL-BEING,CONTACT INFORMATION,"When encouraging people to utilize resources that may help them improve and reach their goals, provide access or contact information within the initial communication (e.g., contact information for their primary healthcare provider or a customer support line).",10. Maintains,SUPPORT NETWORK,0. No edits needed,,,,,,,,https://www.ideas42.org/wp-content/uploads/2015/08/Project-Brief_Statins.pdf,,,no,"resources, communication, information, contact, maintains, information, contacts, support, maintain, supports, maintained, access, info",45
CHANGE PERSPECTIVE,"NEUTRAL LENS
","Display images or information that evoke a visceral response, then ask the person to describe what they see in a manner devoid of emotion, to strictly observe and respond from a technical standpoint to avoid subjective bias. For example, this technique has proven to be effective to reduce negative feelings of Jewish Israelis towards Palestinians.",1. Considers,STEREOTYPES,0. No edits needed,,,,,,,"Shamay-Tsoory, S. G., Abu-Akel, A., Palgi, S., Sulieman, R., Fischer-Shofty, M., Levkovitz, Y., & Decety, J. (2013). Giving peace a chance: oxytocin increases empathy to pain in the context of the Israeli–Palestinian conflict. Psychoneuroendocrinology, 38(12), 3139-3144.",https://www.wiseinterventions.org/posters/teaching-to-reappraise-experiences-of-anger-reduced-expression-of-negative-emotions-towards-palestinians-among-jewish-israelis-months-later,,,no,"media, information, visceral, describe, objective, subjective, neutral, stereotype, notions, perceptions, biases, perception, myths, misconceptions, prejudice, lens, sexist",46
CHANGE PERSPECTIVE,BAD JOKE,Play a video of a derogatory joke being told involving a racial or gender group but silence any laughter or applause from the audience to illustrate that the joke is not funny.,1. Considers,STEREOTYPES,0. No edits needed,,,,,,,"Yoshida, E., Peach, J. M., Zanna, M. P., & Spencer, S. J. (2012). Not all automatic associations are created equal: How implicit normative evaluations are distinct from implicit attitudes and uniquely predict meaningful behavior. Journal of Experimental Social Psychology, 48(3), 694-706.",https://www.wiseinterventions.org/posters/withholding-audience-laughter-while-depicting-racist-jokes-in-videos-improved-implicit-normative-evaluations-and-reduced-discrimination-among-adults,,,no,"media, bad, joke, bigotry, suppress, stereotype, myths, notions, jokes, joke, misconceptions, sexist, myth, generalizations, perceptions",47
CHANGE PERSPECTIVE,IT'S POSSIBLE,"Provide examples of people or groups making progress or changes along the same lines of, but not necessarily identical to, changes the person is striving to make.",3. Intends,SELF-EFFICACY ABOUT THE BEHAVIOR,0. No edits needed,"Might be better thought of as Intends because it's about the whole behavior, whereas believes is about a particular action taken at a particular time that's just part of the behavior (e.g. ""going to the gym today"" which is part of the behavior ""going to the gym daily"")",,,,,,"Goldenberg, A., Cohen-Chen, S., Goyer, J. P., Dweck, C. S., Gross, J. J., & Halperin, E. (2018). Testing the impact and durability of a group malleability intervention in the context of the Israeli–Palestinian conflict. Proceedings of the National Academy of Sciences, 115(4), 696–701. doi: 10.1073/pnas.1706800115",https://www.wiseinterventions.org/posters/learning-that-groups-can-change-and-taking-different-perspectives-when-understanding-conflict-improved-attitudes-and-conciliatory-behavior-towards-palestinians-among-israeli-jews-over-6-months,,,yes,"compare, progress, examples, intends, intend, wants, expects, plans, will, seeks, chooses, aims, possible",48
CHANGE PERSPECTIVE,BUILD A CASE,"Present common stereotypes about a specific group alongside empirically-based counter-evidence, cases of discrimination against the group (presented as a violation of national norms), a list of names of prominent people who oppose said discrimination, and an invitation for the user to add their own name to this list.",,,5. To be deleted,,Group of strategies,,,,,"Wise Interventions ; Gringart et al., 2008",,,,no,,49
CHANGE PERSPECTIVE,CONTRAST EXPOSURE,"Ask people to explain whether they view themselves as prejudiced against a particular group. Once they have shared their thoughts, ask them to describe a time when they reacted negatively to or acted unkindly toward a member of said group.",1. Considers,STEREOTYPES,0. No edits needed,,,,,,,"Hing, L. S. S., Li, W., & Zanna, M. P. (2002). Inducing hypocrisy to reduce prejudicial responses among aversive racists. Journal of Experimental Social Psychology, 38(1), 71-78.",https://www.wiseinterventions.org/posters/prompting-hypocrisy-about-prejudice-towards-asians-increased-guilt-and-discomfort-and-decreased-prejudice-among-high-implicit-prejudice-undergraduates,,,no,"describe, analyze, bigotry, unkindness, bad, react, stereotype, perceptions, notions, perception, myths, misconceptions, biases, myth, generalization, generalizations",50
PERFORMANCE IMPROVEMENT,QUANTIFY USAGE,"Provide real-time usage information to the person of services or resources (e.g., electricity, water) to improve the efficiency and sustainability of their usage.",10. Maintains,FEEDBACK,0. No edits needed,,,,,,,"Asensio, O. I., & Delmas, M. A. (2015). Nonprice incentives and energy conservation. Proceedings of the National Academy of Sciences, 112(6), E510-E515.",https://www.wiseinterventions.org/posters/linking-energy-usage-to-health-and-environmental-issues-reduced-usage-over-100-days,,,no,"real-time, resources, information, services, efficiency, sustainability, feedback, input, analyze, usage, calculate, evaluate, assess, optimize, responses, subjective",51
PERFORMANCE IMPROVEMENT,EMPHASIS ON EFFORT,Emphasize that making a substantial effort is a strong predictor of success in order to motivate the person to make a larger effort.,10. Maintains,MINDSET,0. No edits needed,,,,,,,"Ruthig, J. C., Perry, R. P., Hall, N. C., & Hladkyj, S. (2004). Optimism and Attributional Retraining: Longitudinal Effects on Academic Achievement, Test Anxiety, and Voluntary Course Withdrawal in College Students 1. Journal of Applied Social Psychology, 34(4), 709-730.",https://www.wiseinterventions.org/posters/attributing-academic-failure-as-unstable-and-controllable-or-attributing-academic-performance-to-effort-increased-first-year-gpa-among-optimistic-first-year-undergraduate-students,,,no,"increase, effort, motivation, emphasize, probability, mindset, mentality, attitude, philosophy, approach, emphasis, ethic, perception, thinking, perspective",52
PERFORMANCE IMPROVEMENT,DEMOGRAPHICS AT THE END,Place user demographic questions at the end of an assessment as opposed to opening with it so that people are more quickly aware of the true purpose of the assessment. ,6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,"Danaher, K., & Crandall, C. S. (2008). Stereotype threat in applied settings re-examined. Journal of Applied Social Psychology, 38(6), 1639-1655.",https://www.wiseinterventions.org/posters/lowering-identity-threat-by-asking-demographic-questions-at-the-end-of-a-test-increased-scores-and-likelihood-of-receiving-credit-among-high-school-girls,,,no,"statistics, demographics, assessment, friction, chooses, reducing, decreasing, determines, reduces, choosing, tension, tends, selects",53
