name,condition,description,most important words,synonyms
Appeal to Hypocrisy Fallacy,Desires,"The Appeal to Hypocrisy Fallacy is the argument that a position is wrong because the person arguing for it does not live in accordance with it. Ideally, only encourage others to engage in a positive behavior change if you have done so yourself. This might not always be possible, but the existence of this fallacy at least suggests that the ways in which information is delivered should be carefully planned: in cases where people are providing behavioral advice or tips, it may be advisable for the person explaining it to be selected on the basis of their own experience in engaging in the behavior in question, in order for that advice to be (at least perceived as) more credible.",accordance hypocrisy appeal fallacy arguing argument position live person wrong,"['accordance', 'arrogance', 'complies', 'conforms', 'congruence', 'consistency', 'disregard', 'humility', 'hypocrisy', 'irrationality', 'objectivity']"
Appeal to Incredulity Fallacy,Desires,"The Appeal to Incredulity Fallacy is the dismissal of a proposition as false because it sounds unbelievable. Encourage healthy skepticism, but share available evidence with people to help them to come to a conclusion about the veracity of the claim(s) they are doubting. Appeals to incredulity may discourage people from engaging in positive behaviors (e.g., due to skepticism regarding the positive impact of these behaviors, the simplicity (or complexity) of the required planning, the simplicity (or complexity) of the required actions, and/or the advantages offered by the behavior in question in comparison to other questions).",dismissal incredulity unbelievable proposition appeal fallacy false sounds because as,"['absurd', 'baseless', 'laughable', 'ludicrous', 'outrageous', 'ridiculous', 'unacceptable', 'unbelievable', 'unreal', 'unrealistic', 'unreasonable']"
Appeal to Money Fallacy,Desires,"The Appeal to Money Fallacy can occur with respect either to people or to things. With respect to people, the fallacy is the belief that the more money a person has, the wiser or more knowledgeable they are. With respect to things, the fallacy is the belief that the more something costs, the more valuable it must be. One response to this fallacy could be to challenge it directly. Another approach could be to leverage it by placing a price on the relevant training, equipment and/or other materials required to engage in the behavior.",wiser knowledgeable appeal fallacy valuable occur costs respect belief money,"['cheaper', 'cost', 'costing', 'costly', 'costs', 'expensive', 'invaluable', 'money', 'profitable', 'valuable', 'value']"
Appeal to Motive Fallacy,Desires,"The Appeal to Motive Fallacy is the claim an argument must be false because the person making it has biased or ulterior motives. Avoid allowing people with relevant conflicts of interest to be the ones promoting behavior change. For example, if someone is selling a high-protein product, it would likely be unwise to choose them as the person to raise awareness (e.g., through a workshop) of the recommended daily protein requirements for a particular demographic/target audience. (As well as possibly inhibiting the degree to which people benefit from the workshop, owing to the appeal to motive fallacy, it would also be unethical due to the conflict of interest, and due to the missed opportunity to provide important health information in a way in which it would be taken seriously by the audience.)",ulterior motives motive appeal biased fallacy false argument claim making,"['intent', 'intention', 'intentions', 'motivations', 'motive', 'motives', 'premeditated', 'purpose', 'purposes', 'rationale', 'ulterior']"
Appeal to Nature Fallacy,Desires,"The Appeal to Nature Fallacy is the claim that natural things are automatically good and synthetic things are automatically bad. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. This might be more effective if there is evidence available to demonstrate positive outcomes associated with the behavior in question (if that is what is perceived as unnatural), or to demonstrate the negative outcomes associated with an undesired, but natural, behavior.",synthetic appeal fallacy automatically natural nature claim bad things good,"['acids', 'additives', 'artificial', 'cis', 'latex', 'man-made', 'manmade', 'molecule', 'molecules', 'natural', 'nature', 'physiological', 'synthetic']"
Appeal to Pity Fallacy,Considers,"The Appeal to Pity Fallacy is the attempt to induce pity to sway opponents. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. An example of when the appeal to pity fallacy could be counterproductive could be if someone is considering encouraging another party to engage in a behavior that would be positive, but potentially challenging (such as encouraging a friend to stop chain smoking) - in such a scenario, someone might decide not to ask the other party to consider the behavior change because of some pity-based reason (e.g., my friend is under a lot of stress right now, so now wouldn't be the time to bring to their attention that there's a new quitting-aid on the market - it would probably just stress them out further). In such a situation, it might be helpful to notice when emotions are unduly influencing one's decisions, and to seek as many differnet perspectives and sources of information as possible (rather than relying on one's intuitions and emotional reactions), when trying to determine the best course of action.",sway induce pity opponents appeal fallacy attempt is to the,"['admiration', 'compassion', 'grief', 'insult', 'pity', 'regret', 'sad', 'shame', 'sorry', 'sympathy']"
Appeal to Popular Belief Fallacy,Desires,"The Appeal to Popular Belief Fallacy is the claim that something is true because the majority of people believe it. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. This might be more effective if there is evidence available to back up the claim that a particular statement is a form of ""Appeal to Popular Belief Fallacy"".",appeal fallacy popular majority belief claim true believe something because,"['common', 'everyone', 'majority', 'overwhelmingly', 'popular', 'popularity', 'subjective', 'supermajority', 'thirds', 'universally', 'widespread']"
Appeal to Probability Fallacy,Desires,"The Appeal to Probability Fallacy is the assumption that because something *could* happen, then it *will* happen. This fallacy may overlap with [all-or-nothing thinking](https://en.wikipedia.org/wiki/Cognitive_distortion#All-or-nothing_thinking) and/or with [catastrophizing](https://en.wikipedia.org/wiki/Exaggeration#Cognitive_distortions), so it might be beneficial to use similar strategies to address it, such as challenging the flawed belief with more accurate information, or encouraging the person to seek professional help, especially if the reasoning is having a detrimental impact on their life. Over the longer-term, it might also be beneficial to encourage the person to practice thinking more probabilistically, to reduce their tendency to engage in this fallacy in the first place.",appeal probability fallacy assumption happen something because then could will,"['doubtful', 'likelihood', 'likely', 'plausible', 'probabilities', 'probability', 'probable', 'risk', 'scenario', 'unlikely']"
Appeal to Ridicule Fallacy,Desires,"The Appeal to Ridicule Fallacy is casting an opponent's argument in a light that makes it sound silly or ridiculous in order to bolster a claim that it is false. It might be possible to reduce the probability of this fallacy arising, if the people and/or organizations presenting information about a behavior are respected, credible, and/or otherwise less susceptible to ridicule. If the fallacy has already occurred, though, then in cases where this fallacy is encouraging a positive behavior or discouraging a negative one, it may not need to be rectified. And in cases where this fallacy is counterproductive, a benevolent helper could point out that this is a fallacy and encourage the person to focus on the information itself, rather than the people or organization(s) conveying it. ",bolster opponent's ridicule casting appeal fallacy ridiculous silly false light,"['absurd', 'disgusting', 'laughable', 'ludicrous', 'outrageous', 'rediculous', 'ridicule', 'ridiculous', 'silly', 'unbelievable', 'unreal']"
Appeal to Spite Fallacy,Desires,"The Appeal to Spite Fallacy is the dismissal of a claim by appealing to personal bias against the claimant. It might be possible to reduce the probability of this fallacy arising, if the people and/or organizations presenting information about a behavior are respected, credible, and/or otherwise less likely for the person in question to be biased against them. If the fallacy has already occurred, though, then in cases where this fallacy is encouraging a positive behavior or discouraging a negative one, it may not need to be rectified. And in cases where this fallacy is counterproductive, a benevolent helper could point out that this is a fallacy and could encourage the person to focus on the information itself, rather than the people or organization(s) conveying it. ",claimant dismissal appealing spite appeal bias fallacy personal claim against,"['anger', 'bigotry', 'disgust', 'enmity', 'frustration', 'fury', 'hatred', 'hostility', 'intolerance', 'outrage', 'spite']"
Appeal to Tradition Fallacy,Desires,"The Appeal to Tradition Fallacy is the claim that something is true because it has (apparently) always been that way. (Similar to Status Quo bias.) In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out that this fallacy is affecting the decision to engage in a behavior (or not), and that this may not be justified. If this fallacy is weighing heavily on the person's decision, it might be worth trying to encourage only very specific and incremental behavioral changes at first, to reduce the resistance associated with breaking from the status quo. Once someone is already engaging in a behavior and is having trouble maintaining it, then this fallacy may actually be helpful in encouraging them to stick to their behavior (if it has become a tradition for them), so in those scenarios it may actually be helpful to appeal to this fallacy.",appeal fallacy tradition apparently claim always true something because way,"['dynasty', 'folklore', 'heritage', 'history', 'proverb', 'ritual', 'rituals', 'roots', 'tradition', 'traditional', 'traditions']"
Appeal to Wishful Thinking,Desires,"The Appeal to Wishful Thinking Fallacy is the belief that a claim is true or false just because you strongly hope it is. When the wishful thinking someone is employing relates to strongly-held beliefs, or distorts their reasoning about what is true, then similar strategies could apply here as to the Appeal to Consequences fallacy. For less strongly-held hopes, or in situations where the backfire risk is deemed to be sufficiently low, it may be helpful to point out when this is occurring. In other cases, it would be preferable to provide information to enable the person to draw their own conclusions, rather than prescribing the conclusions or actions that someone should take. ",wishful appeal fallacy strongly false belief thinking claim hope true,"['hope', 'hoped', 'hopefully', 'pray', 'thank', 'thankful', 'wish', 'wished', 'wishes', 'wishing']"
Argument from Fallacy,Desires,"The Argument from Fallacy Fallacy (sometimes just called the ""Fallacy Fallacy"") is the argument that, because an embedded argument contains a flaw, its conclusion must be false. It usually has the following form (where P is an embedded argument): ""If P is sound or strong, then P's conclusion is true. P is unsound or not strong. Therefore, P's conclusion is false."" It might be possible to reduce the probability of this fallacy arising, if care is taken not to promote a positive behavior (or discourage a negative one) in a way that employs fallacies. If the fallacy has already occurred, though, then in cases where the end result is people being encouraged to engage in a positive behavior or being discouraged from a negative behavior, it may not need to be rectified. And in cases where this fallacy is counterproductive, a benevolent helper could point out that this is itself also a fallacy, and could encourage the person to steelman the argument and/or to focus on the information itself, rather than the fallacious ways in which it is currently being conveyed. ",p's unsound embedded flaw fallacy conclusion contains false strong argument,"['error', 'errors', 'flaw', 'flaws', 'glitch', 'mistake', 'mistakes', 'screwup', 'typo', 'typos', 'weaknesses']"
Argument from Ignorance Fallacy,Desires,"The Argument from Ignorance Fallacy is the assertion that a proposition is necessarily true because it has not been proven false (or vice versa). In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out that this is a fallacy. It might help to draw on concrete examples of statements that the person already believes could be false, despite the fact the belief has not been explicitly proven false (e.g., it could be pointed out that it is still reasonable to not believe in ghosts, despite not having evidence definitively disproving their existence).",versa proposition fallacy proven ignorance assertion vice false necessarily argument,"['arrogance', 'bigotry', 'gullibility', 'hypocrisy', 'ignorance', 'ignorant', 'incompetence', 'irrationality', 'know', 'proof', 'stupidity']"
Attentional Bias,Remembers,Attentional Bias occurs when some information or evidence holds a disproportionate amount of a person's attention because of that person's environment or history. Design educational or promotional materials that specifically draw attention to the positive aspects of behavior change.,disproportionate person's bias holds occurs attention environment amount history evidence,"['attention', 'concentrate', 'concentrating', 'dwell', 'emphasis', 'focus', 'focused', 'focusing', 'narrow', 'narrowed']"
Availability Cascade,Desires,"Availability Cascade refers to a self-reinforcing cycle in which simple and apparently insightful ideas automatically spread faster than complex, obscure ideas, even if they oversimplify to the point of inaccuracy. Show how the ""bad"" idea oversimplifies a complex phenomenon. Simplify your own ""good"" idea (without oversimplifying), and find clever or catchy ways of expressing your idea.",inaccuracy oversimplify cascade insightful obscure refers availability cycle spread automatically,"['available', 'complex', 'complicated', 'configurable', 'cycle', 'cycles', 'simple', 'simpler', 'simplest', 'simplistic', 'tedious']"
Availability Heuristic,Desires,"The Availability Heuristic is a phenomenon (which can result in a cognitive bias) in which people predict the frequency of an event, or a proportion within a population, based on how easily an example can be brought to mind. This bias may be helpful if a desirable behavior can be made more available and more likely to come to mind when someone is considering the range of behaviors that they could engage in. If possible, the physical and social environment should make the desired behavior - and its positive consequences - more salient, memorable, and accessible in recent memory. If you increase the salience, memorability and accessibility of the behavior and its positive consequences, people may be more likely to think about how to put plans in place to make it a reality, more likely to desire it (if the mere exposure effect also comes into play), more likely to think about it at moments of critical behavioral opportunities, more likely to think of that positive outcomes of the behavior are likely (if these are more available in memory), more likely to think that their efforts at change will succeed (if examples of success are more available in memory), more likely to think of it before thinking of alternative behaviors (if the behavior has been made available in memory more recently than the alternative behaviors), and more likely to be seen as something that they should, can and will continue (if the behavior, its consequences, or reminders of it are available in recent memory). ",heuristic cognitive proportion bias phenomenon predict availability frequency population brought,"['available', 'concentrations', 'frequencies', 'frequency', 'incidence', 'percentage', 'percentages', 'prevalence', 'proportion', 'proportionately', 'ratio']"
